time_ms,value,temperature_C
1049418,259,25.00
1049562,259,25.00
1049707,260,25.00
1049851,260,25.00
1049996,259,25.00
1050142,259,25.00
1050286,259,25.00
1050431,259,25.00
1050578,259,25.00
1050723,258,25.00
1050867,259,25.00
1051011,258,25.00
1051156,259,25.00
1051300,259,25.00
1051445,259,25.00
1051589,258,25.00
1051734,259,25.00
1051878,259,25.00
1052023,259,25.00
1052167,258,25.00
1052312,259,25.00
1052456,258,25.00
1052601,258,25.00
1052745,259,25.00
1052890,259,25.00
1053034,258,25.00
1053179,259,25.00
1053323,259,25.00
1053467,259,25.00
1053612,259,25.00
1053756,259,25.00
1053901,259,25.00
1054045,259,25.00
1054191,258,25.00
1054336,259,25.00
1054483,259,25.00
1054628,259,25.00
1054772,259,25.00
1054917,259,25.00
1055061,258,25.00
1055206,259,25.00
1055350,259,25.00
1055495,259,25.00
1055639,258,25.00
1055783,259,25.00
1055928,259,25.00
1056072,259,25.00
1056217,258,25.00
1056361,259,25.00
1056506,259,25.00
1056650,259,25.00
1056795,258,25.00
1056939,259,25.00
1057084,260,25.00
1057228,259,25.00
1057373,259,25.00
1057517,259,25.00
1057662,259,25.00
1057806,259,25.00
1057951,259,25.00
1058097,260,25.00
1058241,260,25.00
1058388,259,25.00
1058533,259,25.00
1058677,259,25.00
1058821,259,25.00
1058966,259,25.00
1059110,259,25.00
1059254,259,25.00
1059399,259,25.00
1059543,259,25.00
1059687,258,25.00
1059832,259,25.00
1059976,259,25.00
1060120,259,25.00
1060265,259,25.00
1060409,259,25.00
1060553,259,25.00
1060698,258,25.00
1060842,259,25.00
1060986,259,25.00
1061131,259,25.00
1061275,259,25.00
1061420,259,25.00
1061564,260,25.00
1061708,259,25.00
1061853,258,25.00
1061997,259,25.00
1062143,258,25.00
1062290,259,25.00
1062434,258,25.00
1062579,259,25.00
1062723,259,25.00
1062867,259,25.00
1063012,259,25.00
1063156,259,25.00
1063300,259,25.00
1063445,259,25.00
1063589,258,25.00
1063733,259,25.00
1063878,259,25.00
1064022,258,25.00
1064166,260,25.00
1064311,259,25.00
1064455,259,25.00
1064599,259,25.00
1064744,259,25.00
1064888,259,25.00
1065032,259,25.00
1065177,260,25.00
1065321,259,25.00
1065465,259,25.00
1065610,259,25.00
1065754,259,25.00
1065898,258,25.00
1066043,259,25.00
1066192,259,25.00
1066336,259,25.00
1066481,259,25.00
1066625,259,25.00
1066770,259,25.00
1066914,259,25.00
1067058,259,25.00
1067203,258,25.00
1067347,259,25.00
1067492,259,25.00
1067636,259,25.00
1067781,259,25.00
1067925,259,25.00
1068070,259,25.00
1068214,259,25.00
1068359,259,25.00
1068503,259,25.00
1068648,258,25.00
1068792,259,25.00
1068937,259,25.00
1069081,259,25.00
1069226,258,25.00
1069370,258,25.00
1069514,259,25.00
1069659,259,25.00
1069803,259,25.00
1069948,258,25.00
1070097,259,25.00
1070241,259,25.00
1070386,258,25.00
1070530,259,25.00
1070675,258,25.00
1070819,260,25.00
1070964,259,25.00
1071108,258,25.00
1071253,259,25.00
1071397,259,25.00
1071542,258,25.00
1071686,259,25.00
1071831,259,25.00
1071975,259,25.00
1072120,259,25.00
1072264,259,25.00
1072408,258,25.00
1072553,258,25.00
1072697,260,25.00
1072842,259,25.00
1072986,259,25.00
1073131,260,25.00
1073275,259,25.00
1073420,259,25.00
1073564,259,25.00
1073709,258,25.00
1073853,259,25.00
1074002,258,25.00
1074147,258,25.00
1074291,259,25.00
1074436,259,25.00
1074580,259,25.00
1074724,259,25.00
1074869,259,25.00
1075013,258,25.00
1075158,259,25.00
1075302,258,25.00
1075447,258,25.00
1075591,259,25.00
1075736,258,25.00
1075880,259,25.00
1076025,258,25.00
1076169,259,25.00
1076314,259,25.00
1076458,259,25.00
1076602,259,25.00
1076747,259,25.00
1076891,259,25.00
1077036,259,25.00
1077180,258,25.00
1077325,259,25.00
1077469,259,25.00
1077614,259,25.00
1077758,259,25.00
1077906,260,25.00
1078052,259,25.00
1078196,258,25.00
1078341,259,25.00
1078485,259,25.00
1078629,259,25.00
1078774,258,25.00
1078918,260,25.00
1079063,259,25.00
1079207,259,25.00
1079352,258,25.00
1079496,259,25.00
1079641,259,25.00
1079785,258,25.00
1079930,259,25.00
1080074,258,25.00
1080219,258,25.00
1080363,259,25.00
1080508,259,25.00
1080652,259,25.00
1080796,259,25.00
1080941,259,25.00
1081085,258,25.00
1081230,258,25.00
1081374,258,25.00
1081519,259,25.00
1081663,259,25.00
1081810,259,25.00
1081956,258,25.00
1082101,259,25.00
1082246,259,25.00
1082390,259,25.00
1082535,259,25.00
1082679,258,25.00
1082823,259,25.00
1082968,259,25.00
1083112,259,25.00
1083257,259,25.00
1083401,259,25.00
1083546,258,25.00
1083690,258,25.00
1083835,258,25.00
1083979,259,25.00
1084124,259,25.00
1084268,259,25.00
1084413,259,25.00
1084557,258,25.00
1084702,258,25.00
1084846,259,25.00
1084991,258,25.00
1085135,259,25.00
1085280,259,25.00
1085424,259,25.00
1085568,259,25.00
1085716,259,25.00
1085860,258,25.00
1086006,258,25.00
1086151,258,25.00
1086295,259,25.00
1086440,259,25.00
1086584,259,25.00
1086729,259,25.00
1086873,259,25.00
1087018,259,25.00
1087162,259,25.00
1087307,259,25.00
1087451,259,25.00
1087596,258,25.00
1087740,259,25.00
1087885,259,25.00
1088029,259,25.00
1088173,259,25.00
1088318,259,25.00
1088462,259,25.00
1088607,259,25.00
1088751,259,25.00
1088896,259,25.00
1089040,259,25.00
1089185,259,25.00
1089329,259,25.00
1089474,259,25.00
1089621,259,25.00
1089765,259,25.00
1089911,259,25.00
1090056,258,25.00
1090200,259,25.00
1090344,259,25.00
1090489,258,25.00
1090633,259,25.00
1090777,259,25.00
1090922,259,25.00
1091066,259,25.00
